0	0.04227	1	0.04565	-10
-10	0.03317	2	0.03807	-10
3	0.03381	4	0.04431	-9
-10	0.03385	-9	0.00527	-10
5	0.05109	6	0.0879	-9
-10	0.0052	-9	0.00857	-10
-10	0.00412	7	0.05816	-10
8	0.06855	9	0.05242	-9
-9	0.00845	10	0.05484	-9
-9	0.00743	11	0.07172	-9
-10	0.01745	-9	0.00335	-10
-10	0.00164	12	0.04835	-10
-10	0.01242	13	0.046	-10
14	0.06112	15	0.04475	-9
16	0.07581	17	0.03548	-8
-9	0.046	-8	0.00677	-9
18	0.04569	19	0.05242	-8
-9	0.01	-8	0.01849	-9
-10	0.00247	-9	0.0033	-10
20	0.04858	21	0.03644	-9
-9	0.00503	22	0.02916	-9
23	0.05331	24	0.06384	-8
-9	0.0483	-8	0.00761	-9
-10	0.00984	-9	0.00166	-10
-10	0.02376	25	0.08949	-10
-10	0.00764	26	0.06134	-10
27	0.0356	28	0.02736	-9
-9	0.03401	29	0.03641	-9
30	0.02958	31	0.07769	-8
-9	0.00416	-8	0.00759	-9
32	0.04248	33	0.0332	-8
-9	0.01233	-8	0.01333	-9
-9	0.00412	34	0.08333	-9
-9	0.01347	35	0.06392	-9
-10	0.01165	-9	0.03408	-10
36	0.0978	37	0.0821	-9
-9	0.00434	38	0.06371	-9
-9	0.03422	39	0.07264	-9
40	0.06053	41	0.06634	-8
-8	0.00847	42	0.07195	-8
-9	0.00929	-8	0.027	-9
43	0.09617	44	0.06063	-8
-8	0.02667	45	0.08158	-8
-8	0.01185	46	0.06877	-8
47	0.0316	48	0.0933	-7
-8	0.00168	-7	0.01108	-8
-9	0.00417	-8	0.00991	-9
-9	0.0099	49	0.07579	-9
-10	0.00167	-9	0.00334	-10
50	0.03732	51	0.04082	-9
-9	0.00873	52	0.04661	-9
53	0.05165	54	0.05178	-8
-9	0.02605	-8	0.03723	-9
55	0.12544	56	0.03393	-8
-9	0.00349	-8	0.00453	-9
-9	0.0404	57	0.04153	-9
58	0.08071	59	0.06864	-8
-8	0.00696	60	0.06107	-8
-9	0.05699	-8	0.00417	-9
-9	0.00413	61	0.02792	-9
62	0.05353	63	0.03966	-8
-8	0.00172	64	0.03312	-8
-8	0.01396	65	0.04604	-8
66	0.02744	67	0.06366	-7
-8	0.00332	-7	0.01596	-8
-8	0.00408	68	0.01612	-8
69	0.06277	70	0.10687	-7
-8	0.00489	-7	0.01103	-8
-8	0.0049	71	0.01616	-8
-8	0.00817	72	0.01942	-8
-9	0.00082	-8	0.00164	-9
73	0.07593	74	0.06624	-8
-8	0.00689	75	0.03148	-8
76	0.0525	77	0.08165	-7
-8	0.00491	-7	0.04193	-8
-8	0.01333	78	0.02421	-8
-8	0.00576	79	0.03632	-8
-8	0.00905	80	0.05224	-8
-8	0.01157	81	0.10602	-8
-8	0.00427	82	0.10746	-8
-9	0.01867	-8	0.00677	-9
-10	0.02712	-9	0.00576	-10
83	0.04996	84	0.05771	-9
-10	0.00992	-9	0.02254	-10
-10	0.02487	85	0.06388	-10
-10	0.00587	86	0.07229	-10
87	0.03581	88	0.04263	-9
-9	0.01242	89	0.03038	-9
-9	0.00259	90	0.09941	-9
91	0.04855	92	0.052	-8
-9	0.00268	-8	0.05775	-9
-9	0.01571	93	0.04784	-9
94	0.06356	95	0.03396	-8
-8	0.00792	96	0.06706	-8
-8	0.01322	97	0.03943	-8
-8	0.005	98	0.0842	-8
-9	0.00336	-8	0.01528	-9
99	0.10914	100	0.08891	-8
-9	0.00581	-8	0.02264	-9
-9	0.00501	101	0.05008	-9
-9	0.02161	102	0.05578	-9
-9	0.01755	103	0.03393	-9
-9	0.00579	104	0.04988	-9
105	0.03388	106	0.03365	-8
-8	0.00176	107	0.09822	-8
-9	0.01158	-8	0.00356	-9
108	0.04068	109	0.05593	-8
-9	0.00329	-8	0.11838	-9
110	0.05419	111	0.03955	-8
